SHARDS_size, SHARDS_hitRate
38225182720,0.08065135
38654705664,0.08065135
39084163072,0.08067067
39513686016,0.09900754
39943143424,0.09929738
40372666368,0.09941332
40802189312,0.09964518
41231646720,0.1448207
41661169664,0.4353318
42090627072,0.4353318
42520150016,0.4353318
42949672960,0.4353318
43379130368,0.4354863
43808653312,0.4391769
44238176256,0.4401817
44667633664,0.4424617
45097156608,0.4435631
45526614016,0.4435631
45956136960,0.4435631
46385659904,0.4435631
46815117312,0.4435631
47244640256,0.4435631
47674097664,0.4435631
48103620608,0.4435631
48533143552,0.4435631
48962600960,0.4435631
49392123904,0.4435631
49821646848,0.4435631
50251104256,0.4435631
50680627200,0.4435631
51110084608,0.4435631
51539607552,0.4435631
51969130496,0.4435824
52398587904,0.4435824
52828110848,0.4435824
53257568256,0.4435824
53687091200,0.4435824
54116614144,0.4436017
54546071552,0.4436017
54975594496,0.4436017
55405051904,0.4436017
55834574848,0.443621
56264097792,0.443621
56693555200,0.443621
57123078144,0.443621
57552601088,0.443621
57982058496,0.443621
58411581440,0.443621
58841038848,0.443621
59270561792,0.443621
59700084736,0.443621
60129542144,0.443621
60559065088,0.443621
60988522496,0.443621
61418045440,0.443621
61847568384,0.4523934
62277025792,0.4524127
62706548736,0.452432
63136071680,0.452432
63565529088,0.4524513
63995052032,0.4524707
64424509440,0.4525093
64854032384,0.5544925
65283555328,0.5545312
65713012736,0.5545505
66142535680,0.5545505
66571993088,0.5545505
67001516032,0.5545505
67431038976,0.5545698
67860496384,0.5545698
68290019328,0.5545891
68719542272,0.5546084
69148999680,0.5546084
69578522624,0.5546084
70007980032,0.5546084
70437502976,0.5546084
70867025920,0.5546278
71296483328,0.5546278
71726006272,0.5546278
72155463680,0.5546471
72584986624,0.5546471
73014509568,0.5546471
73443966976,0.5546471
73873489920,0.5546664
74302947328,0.5547051
74732470272,0.5547437
75161993216,0.5547823
75591450624,0.5548016
76020973568,0.5548403
76450496512,0.5548403
76879953920,0.5548596
77309476864,0.5548983
77738934272,0.5549176
78168457216,0.5549176
78597980160,0.5549369
79027437568,0.5549563
79456960512,0.5549756
79886417920,0.5549949
80315940864,0.5550142
80745463808,0.5550335
81174921216,0.5550335
81604444160,0.5550915
82033967104,0.5551108
82463424512,0.6565337
82892947456,0.6801069
83322404864,0.6972458
83751927808,0.7088199
84181450752,0.7146358
84610908160,0.7156985
85040431104,0.7195631
85469888512,0.7344605
85899411456,0.7344605
86328934400,0.7344605
86758391808,0.7344605
87187914752,0.7344605
87617437696,0.7344605
88046895104,0.7344605
88476418048,0.7344605
88905875456,0.7344605
89335398400,0.7344605
89764921344,0.7344605
90194378752,0.7344605
90623901696,0.7344605
91053359104,0.7344605
91482882048,0.7344605
91912404992,0.7344605
92341862400,0.7344605
